iter	MultiClass
0	2.636633054
1	2.472258485
2	2.339020822
3	2.182413752
4	2.101165844
5	2.019701232
6	1.958682505
7	1.892805224
8	1.834848831
9	1.763245194
10	1.710891081
11	1.671627073
12	1.616222128
13	1.569858364
14	1.533037252
15	1.506987596
16	1.467384744
17	1.425003776
18	1.390419528
19	1.355990183
20	1.331734595
21	1.30796371
22	1.286354912
23	1.265998328
24	1.239798286
25	1.214948897
26	1.190236684
27	1.171018523
28	1.146120233
29	1.123439394
30	1.100562307
31	1.073505792
32	1.052733378
33	1.041940692
34	1.023628099
35	1.008643993
36	0.9925018501
37	0.9711941404
38	0.9646117144
39	0.9519028383
40	0.944413152
41	0.9321597275
42	0.9217190776
43	0.904556718
44	0.8930204407
45	0.8814468098
46	0.8712612568
47	0.8563808686
48	0.8454960663
49	0.8352240359
50	0.8293472945
51	0.821329364
52	0.8087835839
53	0.8042897288
54	0.7946750561
55	0.7917731362
56	0.7817949828
57	0.7743628842
58	0.7688898186
59	0.7584272312
60	0.7500473624
61	0.7422285579
62	0.7377710467
63	0.7316539506
64	0.7264684314
65	0.7199215191
66	0.7129047748
67	0.7073364958
68	0.70064938
69	0.693445839
70	0.6869563626
71	0.6806905825
72	0.6770437388
73	0.673033488
74	0.6670565263
75	0.6620321846
76	0.6579982401
77	0.6522987522
78	0.6470982382
79	0.6463550366
80	0.6431027981
81	0.6348364785
82	0.6321044579
83	0.6295117244
84	0.6289926609
85	0.6249080879
86	0.6204948633
87	0.6182124045
88	0.6137833077
89	0.6113619614
90	0.6084056873
91	0.603107678
92	0.5988075327
93	0.5958462806
94	0.5939809826
95	0.5875551463
96	0.5867888095
97	0.5842026543
98	0.5773145874
99	0.5736042441
100	0.5693039614
101	0.5663680636
102	0.5616721826
103	0.5578507159
104	0.5551955072
105	0.5537116356
106	0.5528200215
107	0.5496492257
108	0.545627947
109	0.5445678044
110	0.5415585218
111	0.5372258352
112	0.5342065418
113	0.5299379999
114	0.5284367729
115	0.5262716284
116	0.525715656
117	0.5237655134
118	0.5201277515
119	0.5180896697
120	0.5164536843
121	0.5134892471
122	0.5086792721
123	0.5049481349
124	0.5016835508
125	0.5004011339
126	0.4990208235
127	0.4958900836
128	0.4914383356
129	0.4884660645
130	0.4857411725
131	0.4836993934
132	0.4812810872
133	0.4799199234
134	0.4768158974
135	0.4740662218
136	0.4687206783
137	0.4666543111
138	0.4639029238
139	0.4604122921
140	0.4583787533
141	0.4549318529
142	0.453339661
143	0.4513693438
144	0.447798345
145	0.4459490168
146	0.4453473916
147	0.4427942749
148	0.4411562227
149	0.4401019778
150	0.4394671268
151	0.4363518653
152	0.4344596135
153	0.4305020818
154	0.4296677566
155	0.4260092937
156	0.4233067349
157	0.4218809737
158	0.4216149043
159	0.4201564754
160	0.4170011021
161	0.416499876
162	0.415296695
163	0.4133611425
164	0.4111186611
165	0.4097701661
166	0.4086092487
167	0.4072301593
168	0.4067023021
169	0.4048111951
170	0.4038008899
171	0.4018005301
172	0.3997333903
173	0.395430805
174	0.3926319699
175	0.3922265589
176	0.3917364685
177	0.3895127588
178	0.3874974848
179	0.3853118714
180	0.384425913
181	0.3825524245
182	0.3809228196
183	0.3798902498
184	0.3776740833
185	0.376146477
186	0.3754845485
187	0.3740255943
188	0.3724635046
189	0.3708190843
190	0.369613015
191	0.3684351227
192	0.3663389884
193	0.3644062214
194	0.3624170723
195	0.360016278
196	0.3591334589
197	0.3580520302
198	0.3569041053
199	0.3560714704
200	0.3552666
201	0.354779071
202	0.3540289888
203	0.3526661514
204	0.35188218
205	0.3505745043
206	0.3499217362
207	0.349106698
208	0.3466957483
209	0.3456707845
210	0.3436312231
211	0.34279708
212	0.3415969274
213	0.3405314126
214	0.338911198
215	0.3367222828
216	0.3351093436
217	0.333924018
218	0.332935144
219	0.3309920927
220	0.3303556812
221	0.3283595848
222	0.3269746142
223	0.32621406
224	0.3251224436
225	0.3237418032
226	0.3235019334
227	0.3222226123
228	0.3203481168
229	0.3193485309
230	0.3181318636
231	0.3175118808
232	0.3155174427
233	0.3143438821
234	0.3133496654
235	0.3124222154
236	0.3098900421
237	0.3096700775
238	0.3085885545
239	0.3079336892
240	0.3071833978
241	0.3070175822
242	0.3051150481
243	0.3043039323
244	0.3029290226
245	0.3018424713
246	0.3004728102
247	0.2999776169
248	0.2980855819
249	0.29729207
250	0.2968648324
251	0.2950932616
252	0.2929409621
253	0.2920461773
254	0.2905765033
255	0.2895873666
256	0.2873777481
257	0.2867932346
258	0.2856474562
259	0.2847558037
260	0.2820456028
261	0.2810740479
262	0.2806933921
263	0.2797377738
264	0.2788025354
265	0.2783072736
266	0.2772683708
267	0.2763481983
268	0.2762079668
269	0.2747936934
270	0.2742119704
271	0.2738228414
272	0.2732681164
273	0.2724419278
274	0.2708470239
275	0.269512881
276	0.2680353523
277	0.2671132072
278	0.2660994332
279	0.2653988016
280	0.2646403629
281	0.263765447
282	0.2618078673
283	0.2612207918
284	0.2604399421
285	0.259602702
286	0.258778355
287	0.257741384
288	0.2569571873
289	0.2547309437
290	0.2532814422
291	0.2517960072
292	0.2512112681
293	0.2493389432
294	0.2485408807
295	0.2480226613
296	0.247240267
297	0.2467281263
298	0.2459355535
299	0.2456944265
300	0.2450989286
301	0.244325722
302	0.2428288559
303	0.2426956006
304	0.2417362307
305	0.24080337
306	0.2399746386
307	0.2396138982
308	0.2385252046
309	0.238030667
310	0.2374950323
311	0.2359834868
312	0.2352539327
313	0.2341872162
314	0.2329158648
315	0.2320562293
316	0.2318936406
317	0.2313384044
318	0.230009085
319	0.229026744
320	0.2281934287
321	0.2275622877
322	0.2272075704
323	0.2269132028
324	0.2261922364
325	0.2258061515
326	0.2246257971
327	0.2237035304
328	0.2234285406
329	0.2230671456
330	0.2220929594
331	0.2214718568
332	0.2209085474
333	0.2203705917
334	0.2196439732
335	0.2194559755
336	0.2183944724
337	0.2174908356
338	0.2163372637
339	0.215567751
340	0.2148674708
341	0.2142597106
342	0.2134141975
343	0.2121254645
344	0.211505386
345	0.2111645175
346	0.2100458711
347	0.2096565987
348	0.209278992
349	0.207872621
350	0.2069804981
351	0.2056026745
352	0.2055307013
353	0.2045319838
354	0.2039175992
355	0.2030736921
356	0.2020558621
357	0.2010897283
358	0.200864324
359	0.2003795701
360	0.1992782092
361	0.1980474023
362	0.1971913484
363	0.1968318884
364	0.1961728745
365	0.1954530981
366	0.1948755545
367	0.1947593647
368	0.1942481842
369	0.1939388371
370	0.1928766178
371	0.19238879
372	0.1911951321
373	0.1905343873
374	0.1900552606
375	0.1896671172
376	0.1893413665
377	0.188604769
378	0.1877235638
379	0.1867664526
380	0.1854011216
381	0.1850079324
382	0.1844853823
383	0.1839721615
384	0.1831828476
385	0.1827050942
386	0.1823949519
387	0.1818091423
388	0.1810338126
389	0.1807509383
390	0.1797576166
391	0.1787949872
392	0.1772656005
393	0.1765572697
394	0.1760108898
395	0.17551494
396	0.1750159831
397	0.1744861603
398	0.174192163
399	0.1734282483
